source,country,query,title,company,location,salary_min,salary_max,description,created,scraped_at,country_name,skills,salary_avg
adzuna,nl,javascript developer,Full Stack Web Developer,Top Employers Institute,"Binnenstad, Amsterdam",,,"Full Stack Web Developer Top Employers Institute is the 1 global authority on HR strategies. With our world leading Certification and data-led insights, we guide and empower organisations in delivering transformational people practices, driving business outcomes and helping them attract, engage and retain top talent. Established more than 30 years ago and operating in 125 countries worldwide, Top Employers Institute collaborates with 2,400 companies, including some of the world's most reputable…",2025-05-25 11:39:17+00:00,2025-06-30 19:53:58.703263,Netherlands,[],
adzuna,nl,react developer,Senior React Developer,Thinkwise,Nederland,,,"Break the monotony and code the future with us! Functieomschrijving Als React Developer ontwikkel je samen met het Front-end team mee aan het Thinkwise Platform. Je werkt samen met het Back- end en Meta-model team aan het opleveren en optimaliseren van complete platform features die door duizenden gebruikers worden gebruikt. Het Front-end team ontwikkelt met behulp van de nieuwste technieken een abstracte cross-platform GUI voor zowel desktop, web als mobiel. Op run-time niveau interpreteert de…",2025-06-21 04:55:05+00:00,2025-06-30 19:54:01.421225,Netherlands,['React'],
adzuna,nl,react developer,Senior Frontend React Developer,NS,"Utrecht, Provincie Utrecht",,,Transformeer treinplanning met Maple als Senior Frontend Developer bij NS! Bouw innovatieve oplossingen in React en beïnvloed duurzaam reiscomfort. Deel je expertise en werk aan uitdagende visualisaties! Daarom wil je als Senior frontend developer bij NS werken Bouwen aan de complexe logistieke puzzels binnen het spoordomein. Maak met jouw team de transitie naar DevOps. Werk aan een duurzame samenleving waarin treinvervoer vanuit milieuoogpunt en door verstedelijking steeds belangrijker wordt. …,2025-06-26 11:05:09+00:00,2025-06-30 19:54:01.421241,Netherlands,['React'],
adzuna,nl,react developer,Interim React developer (detachering),Morgan Black,Nederland,,,Functieomschrijving Morgan Black is voor een van haar goede klanten per direct op zoek naar een Front-end React developer. Jij zal gaan helpen met enkele applicaties naar een hoger niveau te tillen Functie eisen Minimaal 5 jaar werkervaring als als Front-end Engineer HBO of WO werk/denkniveau; Specialist in: React en Typescript Beheerst de Nederlandse taal zowel in woord als in geschrift. Bedrijfsprofiel & Cultuur Onze klant is een grote organisatie die graag blijft innoveren. Ze zijn bezig met…,2025-06-19 04:41:30+00:00,2025-06-30 19:54:01.421245,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Utrecht, Provincie Utrecht",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2022-11-30 15:03:43+00:00,2025-06-30 19:54:01.421248,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Delft, Zuid-Holland",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2023-02-16 14:35:20+00:00,2025-06-30 19:54:01.421251,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Amsterdam, Noord-Holland",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2023-06-03 19:10:08+00:00,2025-06-30 19:54:01.421255,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Den Haag, Zuid-Holland",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2023-02-16 14:35:23+00:00,2025-06-30 19:54:01.421258,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Eindhoven, Noord-Brabant",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2023-02-16 14:35:22+00:00,2025-06-30 19:54:01.421261,Netherlands,['React'],
adzuna,nl,react developer,React Developer,OfferZen,"Rotterdam, Zuid-Holland",,,"React Developer Are you an EU citizen looking for the next big move in your developer career? OfferZen companies across Europe are hiring React Developers. Companies on OfferZen are looking for React Developers with strong technical skills to produce visual interfaces of web applications, and develop new user-facing features. Requirements: 2 years experience working as a Frontend Developer Experience working with React Experience working in an English speaking environment Experience working wit…",2022-11-30 15:03:40+00:00,2025-06-30 19:54:01.421264,Netherlands,['React'],
